Date,AGNC,AXON,BCG,BSBK,CEAD,CMRX,CVCO,FNKO,FNLC,IFRX,KLXE,MSBI,NMRA,NMRK,NVCR,NVCT,NVEC,NVEI,OPTN,OPTX,SCNI,SCOR,SDA,SLAB,STRR,STRS,STRT,TWST,UONEK,ZPTA
2016-06-01,7.537266254425049,24.8799991607666,,,169.1999969482422,3.930000066757202,93.69999694824219,,14.819573402404785,,,15.53974723815918,,,11.670000076293945,,36.62392044067383,,,,350.0,477.6000061035156,,48.7400016784668,219.0270538330078,15.711889266967773,37.89552688598633,,3.190000057220459,
2016-07-01,7.527685642242432,28.959999084472656,,,169.1999969482422,3.990000009536743,99.37999725341797,,15.170455932617188,,,16.306346893310547,,,7.519999980926514,,35.618553161621094,,,,331.0,519.0,,53.279998779296875,249.22299194335938,14.755587577819824,41.5714111328125,,3.200000047683716,
2016-08-01,7.496313095092773,27.079999923706055,,,158.39999389648438,4.809999942779541,104.56999969482422,,15.654086112976074,,,17.438331604003906,,,7.679999828338623,,36.875732421875,,,,388.0,617.0,,57.29999923706055,215.1993865966797,15.929993629455566,39.045433044433594,,3.4600000381469727,
2016-09-01,7.655514717102051,28.610000610351562,,,216.0,5.539999961853027,99.05000305175781,,16.669410705566406,,,18.300472259521484,,,8.539999961853027,,37.44111251831055,,,,368.0,613.2000122070312,,58.79999923706055,219.07394409179688,20.468238830566406,32.90293502807617,,3.0299999713897705,
2016-10-01,7.931419372558594,22.3799991607666,,,378.0,4.050000190734863,92.4000015258789,,16.460779190063477,,,18.437686920166016,,,6.050000190734863,,35.74501419067383,,,,390.0,575.7999877929688,,59.95000076293945,189.00497436523438,20.300466537475586,33.21120071411133,,2.5,
2016-11-01,7.444019794464111,27.229999542236328,,,268.20001220703125,4.889999866485596,94.55000305175781,,20.376846313476562,,,23.514738082885742,,,7.75,,43.16522216796875,,,,368.0,580.7999877929688,,66.3499984741211,199.74388122558594,24.956151962280273,36.39198684692383,,2.9000000953674316,
2016-12-01,7.302052021026611,24.239999771118164,,,360.0,4.599999904632568,99.8499984741211,,23.241682052612305,,,26.294517517089844,,,7.849999904632568,,46.17779541015625,,,,335.0,631.5999755859375,,65.0,217.03921508789062,27.47273826599121,37.701725006103516,,2.9000000953674316,
2017-01-01,7.595119476318359,24.979999542236328,,,378.0,5.440000057220459,98.25,,18.95846939086914,,,24.608417510986328,,,6.349999904632568,,50.16008377075195,,,,505.0,671.0,,65.19999694824219,219.2095947265625,25.669185638427734,28.910825729370117,,3.0,
2017-02-01,8.0618314743042,25.670000076293945,,,318.6000061035156,5.679999828338623,119.25,,19.245481491088867,,,25.55321502685547,,,7.599999904632568,,51.29597854614258,,,,600.0,479.79998779296875,,67.5,227.89117431640625,25.0400390625,27.925228118896484,,2.75,
2017-03-01,8.244168281555176,22.790000915527344,,,327.6000061035156,6.380000114440918,116.4000015258789,,19.344873428344727,,,25.13972282409668,,,8.100000381469727,,54.19593048095703,,,,580.0,431.79998779296875,,73.55000305175781,232.40914916992188,22.984825134277344,26.09483528137207,,3.299999952316284,
