date,tic,popularity
2004-06-01,TMO,0.03
2004-06-01,TMUS,0.0
2004-06-01,TSLA,0.0
2004-06-01,TXN,0.01
2004-06-01,UNH,0.0
2004-06-01,UNP,0.0
2004-06-01,UPS,0.31
2004-06-01,USB,0.82
2004-06-01,V,0.43
2004-06-01,VZ,0.0
2004-06-01,WFC,0.0
2004-06-01,WMT,0.0
2004-06-01,XOM,0.0
2004-07-01,AAPL,0.05
2004-07-01,ABBV,0.0
2004-07-01,ABT,0.41
2004-07-01,ACN,0.31
2004-07-01,ADBE,0.04
2004-07-01,AIG,0.12
2004-07-01,AMD,0.81
2004-07-01,AMGN,0.0
2004-07-01,AMT,0.21
2004-07-01,AMZN,0.0
2004-07-01,AVGO,0.0
2004-07-01,AXP,0.0
2004-07-01,BA,0.3
2004-07-01,BAC,0.76
2004-07-01,BK,0.05
2004-07-01,BKNG,0.0
2004-07-01,BLK,0.0
2004-07-01,BMY,0.0
2004-07-01,BRK-B,0.0
2004-07-01,C,0.82
2004-07-01,CAT,0.62
2004-07-01,CHTR,0.0
2004-07-01,CL,0.05
2004-07-01,CMCSA,0.0
2004-07-01,COF,0.0
2004-07-01,COP,0.04
2004-07-01,COST,0.48
2004-07-01,CRM,0.06
2004-07-01,CSCO,0.0
2004-07-01,CVS,0.14
2004-07-01,CVX,0.0
2004-07-01,DE,0.69
2004-07-01,DHR,0.0
2004-07-01,DIS,0.0
2004-07-01,DOW,0.05
2004-07-01,DUK,0.0
2004-07-01,EMR,0.0
2004-07-01,F,0.21
2004-07-01,FDX,0.0
2004-07-01,GD,0.02
2004-07-01,GE,0.1
2004-07-01,GILD,0.0
2004-07-01,GM,0.62
2004-07-01,GOOG,0.03
2004-07-01,GOOGL,0.02
2004-07-01,GS,0.32
2004-07-01,HD,0.04
2004-07-01,HON,0.0
2004-07-01,IBM,0.15
2004-07-01,INTC,0.0
2004-07-01,INTU,0.0
2004-07-01,JNJ,0.0
2004-07-01,JPM,0.0
2004-07-01,KHC,0.0
2004-07-01,KO,0.07
2004-07-01,LIN,0.07
2004-07-01,LLY,0.0
2004-07-01,LMT,0.0
2004-07-01,LOW,0.56
2004-07-01,MA,0.58
2004-07-01,MCD,0.01
2004-07-01,MDLZ,0.0
2004-07-01,MDT,0.01
2004-07-01,MET,0.37
2004-07-01,META,0.11
2004-07-01,MMM,0.02
2004-07-01,MO,0.34
2004-07-01,MRK,0.0
2004-07-01,MS,0.75
2004-07-01,MSFT,0.01
2004-07-01,NEE,0.01
2004-07-01,NFLX,0.0
2004-07-01,NKE,0.01
2004-07-01,NVDA,0.0
2004-07-01,ORCL,0.01
2004-07-01,PEP,0.5
2004-07-01,PFE,0.04
2004-07-01,PG,0.07
2004-07-01,PM,0.13
2004-07-01,PYPL,0.0
2004-07-01,QCOM,0.0
2004-07-01,RTX,0.02
2004-07-01,SBUX,0.0
2004-07-01,SCHW,0.0
2004-07-01,SO,0.3
2004-07-01,SPG,0.0
2004-07-01,T,0.62
2004-07-01,TGT,0.0
2004-07-01,TMO,0.03
2004-07-01,TMUS,0.0
2004-07-01,TSLA,0.0
2004-07-01,TXN,0.01
2004-07-01,UNH,0.0
2004-07-01,UNP,0.0
2004-07-01,UPS,0.32
2004-07-01,USB,0.85
2004-07-01,V,0.42
2004-07-01,VZ,0.0
2004-07-01,WFC,0.0
2004-07-01,WMT,0.0
2004-07-01,XOM,0.0
2004-08-01,AAPL,0.04
2004-08-01,ABBV,0.0
2004-08-01,ABT,0.4
2004-08-01,ACN,0.31
2004-08-01,ADBE,0.05
2004-08-01,AIG,0.12
2004-08-01,AMD,0.95
2004-08-01,AMGN,0.0
2004-08-01,AMT,0.25
2004-08-01,AMZN,0.0
2004-08-01,AVGO,0.0
2004-08-01,AXP,0.0
2004-08-01,BA,0.31
2004-08-01,BAC,0.1
2004-08-01,BK,0.06
2004-08-01,BKNG,0.0
2004-08-01,BLK,0.0
2004-08-01,BMY,0.0
2004-08-01,BRK-B,0.0
2004-08-01,C,0.8
2004-08-01,CAT,0.6
2004-08-01,CHTR,0.0
2004-08-01,CL,0.05
2004-08-01,CMCSA,0.0
2004-08-01,COF,0.0
2004-08-01,COP,0.04
2004-08-01,COST,0.49
2004-08-01,CRM,0.06
2004-08-01,CSCO,0.0
2004-08-01,CVS,0.13
2004-08-01,CVX,0.0
2004-08-01,DE,0.68
2004-08-01,DHR,0.0
2004-08-01,DIS,0.0
2004-08-01,DOW,0.05
2004-08-01,DUK,0.0
2004-08-01,EMR,0.0
2004-08-01,F,0.19
2004-08-01,FDX,0.0
2004-08-01,GD,0.02
2004-08-01,GE,0.11
2004-08-01,GILD,0.01
2004-08-01,GM,0.64
2004-08-01,GOOG,0.12
2004-08-01,GOOGL,0.02
2004-08-01,GS,0.3
2004-08-01,HD,0.04
2004-08-01,HON,0.0
2004-08-01,IBM,0.14
2004-08-01,INTC,0.0
2004-08-01,INTU,0.0
2004-08-01,JNJ,0.0
2004-08-01,JPM,0.0
2004-08-01,KHC,0.0
2004-08-01,KO,0.07
2004-08-01,LIN,0.07
2004-08-01,LLY,0.0
2004-08-01,LMT,0.0
2004-08-01,LOW,0.51
2004-08-01,MA,0.55
2004-08-01,MCD,0.01
2004-08-01,MDLZ,0.0
2004-08-01,MDT,0.01
2004-08-01,MET,0.38
2004-08-01,META,0.11
2004-08-01,MMM,0.02
2004-08-01,MO,0.3
2004-08-01,MRK,0.0
2004-08-01,MS,0.79
2004-08-01,MSFT,0.0
2004-08-01,NEE,0.01
2004-08-01,NFLX,0.0
2004-08-01,NKE,0.02
2004-08-01,NVDA,0.01
2004-08-01,ORCL,0.01
2004-08-01,PEP,0.5
2004-08-01,PFE,0.04
2004-08-01,PG,0.07
2004-08-01,PM,0.12
2004-08-01,PYPL,0.0
2004-08-01,QCOM,0.0
